Model,Vectorization,Feature_size,Accuracy,AUROC,F1
SVC(),uni_tfidf,1820,0.985,0.9852,0.9855
SVC(),bi_tfidf,2246,0.976,0.976,0.9769
SVC(),uni_count,670,0.9753,0.9754,0.976
LogisticRegression(max_iter=500),uni_tfidf,1820,0.9740000000000001,0.9743,0.9748
LogisticRegression(max_iter=500),uni_count,670,0.9699,0.97,0.9708
LogisticRegression(max_iter=500),bi_tfidf,2246,0.9678,0.9679,0.9689
LogisticRegression(max_iter=500),bi_count,1171,0.9646,0.9644,0.9659
SVC(),bi_count,1171,0.9626,0.9624,0.9641
SVC(),word2vec,300,0.9521,0.9523,0.9535
LogisticRegression(max_iter=500),word2vec,300,0.9509,0.9509,0.9526
RandomForestClassifier(),uni_count,670,0.9421,0.9424,0.9436
RandomForestClassifier(),bi_tfidf,2246,0.9344,0.9343,0.9368
RandomForestClassifier(),bi_count,1171,0.9307,0.9308,0.9328
RandomForestClassifier(),word2vec,300,0.9307,0.9308,0.9328
RandomForestClassifier(),uni_tfidf,1820,0.9272,0.9276,0.9289
<catboost.core.CatBoostClassifier object at 0x7fb46ab68c40>,bi_tfidf,2246,0.8383,0.8383,0.8433
GaussianNB(),word2vec,300,0.8379,0.8398,0.8344
<catboost.core.CatBoostClassifier object at 0x7fb46ab68c40>,uni_count,670,0.8258,0.8253,0.8332
<catboost.core.CatBoostClassifier object at 0x7fb46ab68c40>,word2vec,300,0.8117,0.8117,0.8176
<catboost.core.CatBoostClassifier object at 0x7fb46ab68c40>,bi_count,1171,0.7986,0.7973,0.8109
<catboost.core.CatBoostClassifier object at 0x7fb46ab68c40>,uni_tfidf,1820,0.808,0.8089,0.8093
GaussianNB(),bi_tfidf,2246,0.7647,0.7651,0.7688
GaussianNB(),bi_count,1171,0.6396,0.6349,0.6868
GaussianNB(),uni_tfidf,1820,0.6509,0.6517,0.6519
GaussianNB(),uni_count,670,0.517,0.5239,0.4206
